,author,co-author,doi,co-author_list,title
0,"Nash, Michelle I.","['Kirwan, C. Brock']",['10.1002/hipo.23299'],"{'Kirwan, C. Brock'}",['Pattern separation beyond the hippocampus: A high-resolution whole-brain investigation of mnemonic discrimination in healthy adults']
1,"Agathos, Catherine Persephone","['Arleo, Angelo']",['10.3389/fnagi.2020.588653'],"{'Arleo, Angelo'}",['Postural Control While Walking Interferes With Spatial Learning in Older Adults Navigating in a Real Environment']
2,"Zhang, Ze","['Luo, Jing']",['10.1155/2020/1049721'],"{'Luo, Jing'}",['The Function of the Hippocampus in Bridging Functional and Temporal Discontiguity']
3,"Clark, Ian A.","['Maguire, Eleanor A.']",['10.1016/j.neuroimage.2020.117211'],"{'Maguire, Eleanor A.'}",['Does hippocampal volume explain performance differences on hippocampal-dependant tasks?']
4,"Seguin, Caio","['Zalesky, Andrew']",['10.1162/netn_a_00161'],"{'Zalesky, Andrew'}",['Network communication models improve the behavioral and functional predictive utility of the human structural connectome']
5,"Vazquez-Rodriguez, Bertha","['Misic, Bratislav']",['10.1162/netn_a_00153'],"{'Misic, Bratislav'}",['Signal propagation via cortical hierarchies']
6,"Monsa, Rotem","['Arzy, Shahar']",['10.1162/jocn_a_01615'],"{'Arzy, Shahar'}",['Processing of Different Temporal Scales in the Human Brain']
7,"Dombrovski, Alexandre Y.","['Hallquist, Michael N.']",['10.1038/s41467-020-18864-0'],"{'Hallquist, Michael N.'}",['Differential reinforcement encoding along the hippocampal long axis helps resolve the explore-exploit dilemma']
8,"Theves, Stephanie","['Doeller, Christian F.', 'Doeller, Christian F.']","['10.1523/JNEUROSCI.0494-20.2020', '10.1016/j.cub.2019.02.035']","{'Doeller, Christian F.'}","['The Hippocampus Maps Concept Space, Not Feature Space', 'The Hippocampus Encodes Distances in Multidimensional Feature Space']"
9,"Berens, Sam C.","['Harrison, Neil A.']",['10.1038/s41386-020-00811-8'],"{'Harrison, Neil A.'}",['Minocycline differentially modulates human spatial memory systems']
10,"Aedo-Jury, Felipe","['Severac Cauquil, Alexandra']",['10.3389/fnint.2020.00043'],"{'Severac Cauquil, Alexandra'}",['Antero-Posterior vs. Lateral Vestibular Input Processing in Human Visual Cortex']
11,"Nema, Eva","['Laczo, Jan']",['10.1007/s00415-020-10079-z'],"{'Laczo, Jan'}",['Spatial navigation in early multiple sclerosis: a neglected cognitive marker of the disease?']
12,"Sulpizio, Valentina","['Pitzalis, Sabrina', 'Galati, Gaspare', 'Galati, Gaspare', 'Galati, Gaspare']","['10.1007/s00429-020-02112-8', '10.3389/fnhum.2018.00167', '10.1002/hipo.22592', '10.3389/fnhum.2014.00716']","{'Pitzalis, Sabrina', 'Galati, Gaspare'}","['A common neural substrate for processing scenes and egomotion-compatible visual motion', ""Neural Codes for One's Own Position and Direction in a Real-World Vista Environment"", 'Functional Connectivity Between Posterior Hippocampus and Retrosplenial Complex Predicts Individual Differences in Navigational Ability', 'Distributed cognitive maps reflecting real distances between places and views in the human brain']"
13,"Nau, Matthias","['Doeller, Christian F.', 'Doeller, Christian F.']","['10.1038/s41467-020-17000-2', '10.1038/s41593-017-0050-8']","{'Doeller, Christian F.'}","['Behavior-dependent directional tuning in the human visual-navigation network', 'Hexadirectional coding of visual space in human entorhinal cortex']"
14,"Brown, Thackery, I","['Wagner, Anthony D.', 'He, Qiliang']","['10.1016/j.cub.2020.03.006', '10.1016/j.cub.2019.06.072']","{'Wagner, Anthony D.', 'He, Qiliang'}","['Stress Disrupts Human Hippocampal-Prefrontal Function during Prospective Spatial Navigation and Hinders Flexible Behavior', 'Environmental Barriers Disrupt Grid-like Representations in Humans during Navigation']"
15,"Park, Jeongho","['Park, Soojin']",['10.1523/JNEUROSCI.1991-19.2020'],"{'Park, Soojin'}",['Coding of Navigational Distance and Functional Constraint of Boundaries in the Human Scene-Selective Cortex']
16,"Koch, Christoph","['Schuck, Nicolas W.']",['10.1016/j.neuropsychologia.2020.107379'],"{'Schuck, Nicolas W.'}",['Effects of aging on encoding of walking direction in the human brain']
17,"Vigano, Simone","['Piazza, Manuela']",['10.1523/JNEUROSCI.1849-19.2020'],"{'Piazza, Manuela'}",['Distance and Direction Codes Underlie Navigation of a Novel Semantic Space in the Human Brain']
18,"Dodge, Neil C.","['Jacobson, Sandra W.']",['10.1111/acer.14310'],"{'Jacobson, Sandra W.'}",['Reduced Hippocampal Volumes Partially Mediate Effects of Prenatal Alcohol Exposure on Spatial Navigation on a Virtual Water Maze Task in Children']
19,"Lawrence, Ashley, V","['Ryan, Lee']",['10.1002/hipo.23203'],"{'Ryan, Lee'}",['Medial temporal lobe regions mediate complex visual discriminations for both objects and scenes: A process-based view']
20,"Petrican, Raluca","['Levine, Brian', 'Levine, Brian']","['10.1523/ENEURO.0531-19.2020', '10.1016/j.nicl.2019.101816']","{'Levine, Brian'}","['The Neural Dynamics of Individual Differences in Episodic Autobiographical Memory', 'Electroconvulsive therapy corrects the neural architecture of visuospatial memory: Implications for typical cognitive-affective functioning']"
21,"Roe, James M.","['Westerhausen, Rene']",['10.1093/cercor/bhz153'],"{'Westerhausen, Rene'}",['Age-Related Differences in Functional Asymmetry During Memory Retrieval Revisited: No Evidence for Contralateral Overactivation or Compensation']
22,"Hodgetts, Carl J.","['Graham, Kim S.']",['10.1016/j.cortex.2019.10.017'],"{'Graham, Kim S.'}",['The role of the fornix in human navigational learning']
23,"Wing, Erik A.","['Cabeza, Roberto']",['10.1523/JNEUROSCI.1766-19.2020'],"{'Cabeza, Roberto'}",['Cortical Overlap and Cortical-Hippocampal Interactions Predict Subsequent True and False Memory']
24,"Kamps, Frederik S.","['Dilks, Daniel D.', 'Dilks, Daniel D.', 'Dilks, Daniel D.']","['10.1016/j.cub.2019.12.008', '10.1016/j.cortex.2016.06.022', '10.1016/j.neuroimage.2016.02.062']","{'Dilks, Daniel D.'}","['Late Development of Navigationally Relevant Motion Processing in the Occipital Place Area', 'The occipital place area represents first-person perspective motion information through scenes', 'The occipital place area represents the local elements of scenes']"
25,"Tavor, Ido","['Assaf, Yaniv']",['10.1002/hbm.24814'],"{'Assaf, Yaniv'}",['Short-term plasticity following motor sequence learning revealed by diffusion magnetic resonance imaging']
26,"Peters, Riccarda","['Scholey, Andrew']",['10.3389/fnagi.2020.00008'],"{'Scholey, Andrew'}",['Functional Connectivity of the Anterior and Posterior Hippocampus: Differential Effects of Glucose in Younger and Older Adults']
27,"Miller, Thomas D.","['Rosenthal, Clive R.']",['10.7554/eLife.41836'],"{'Rosenthal, Clive R.'}",['Human hippocampal CA3 damage disrupts both recent and remote episodic memories']
28,"Stevenson, Rebecca F.","['Yassa, Michael A.']",['10.1523/JNEUROSCI.0564-19.2019'],"{'Yassa, Michael A.'}",['Pattern Separation and Source Memory Engage Distinct Hippocampal and Neocortical Regions during Retrieval']
29,"Laczo, Jan","['Hort, Jakub', 'Nema, Eva']","['10.3233/JAD-200615', '10.1007/s00415-020-10079-z']","{'Nema, Eva', 'Hort, Jakub'}","['The Combined Effect of APOE and BDNF Va166Met Polymorphisms on Spatial Navigation in Older Adults', 'Spatial navigation in early multiple sclerosis: a neglected cognitive marker of the disease?']"
30,"Chen, Xiaoli","['Wolbers, Thomas']",['10.1016/j.neuroimage.2019.116074'],"{'Wolbers, Thomas'}",['Computing distance information from landmarks and self-motion cues - Differential contributions of anterior-lateral vs. posterior-medial entorhinal cortex in humans']
31,"Reynolds, Nadjalisse C.","['Magnusson, Kathy R.']",['10.1016/j.neuroimage.2019.116069'],"{'Magnusson, Kathy R.'}",['Age-related differences in brain activations during spatial memory formation in a well-learned virtual Morris water maze (vMWM) task']
32,"Huffman, Derek J.","['Ekstrom, Arne D.']",['10.1016/j.neuron.2019.08.012'],"{'Ekstrom, Arne D.'}",['A Modality-Independent Network Underlies the Retrieval of Large-Scale Spatial Environments in the Human Brain']
33,"Wang, Xiaojing","['Liu, Baolin']",['10.1016/j.neures.2018.11.009'],"{'Liu, Baolin'}",['Decoding natural scenes based on sounds of objects within scenes using multivariate pattern analysis']
34,"Persichetti, Andrew S.","['Dilks, Daniel D.', 'Dilks, Daniel D.']","['10.1073/pnas.1903057116', '10.1016/j.cortex.2016.02.006']","{'Dilks, Daniel D.'}","['Distinct representations of spatial and categorical relationships across human scene-selective cortex', 'Perceived egocentric distance sensitivity and invariance across scene-selective cortex']"
35,"Peer, Michael","['Arzy, Shahar']",['10.7554/eLife.47492'],"{'Arzy, Shahar'}",['Processing of different spatial scales in the human brain']
36,"Schultz, Heidrun","['Staresina, Bernhard P.']",['10.1523/ENEURO.0291-19.2019'],"{'Staresina, Bernhard P.'}","['Content Tuning in the Medial Temporal Lobe Cortex: Voxels that Perceive, Retrieve']"
37,"He, Qiliang","['Brown, Thackery, I']",['10.1016/j.cub.2019.06.072'],"{'Brown, Thackery, I'}",['Environmental Barriers Disrupt Grid-like Representations in Humans during Navigation']
38,"Javadi, Amir-Homayoun","['Spiers, Hugo J.', 'Spiers, Hugo J.']","['10.1162/jocn_a_01414', '10.1038/ncomms14652']","{'Spiers, Hugo J.'}","['Prefrontal Dynamics Associated with Efficient Detours and Shortcuts: A Combined Functional Magnetic Resonance Imaging and Magnetoencenphalography Study', 'Hippocampal and prefrontal processing of network topology to simulate the future']"
39,"Chen, Haoyu","['Yang, Jiongjiong']",['10.1523/JNEUROSCI.3181-18.2019'],"{'Yang, Jiongjiong'}",['Dissociation of the Perirhinal Cortex and Hippocampus During Discriminative Learning of Similar Objects']
40,"Henriksson, Linda","['Kriegeskorte, Nikolaus']",['10.1016/j.neuron.2019.04.014'],"{'Kriegeskorte, Nikolaus'}",['Rapid Invariant Encoding of Scene Layout in Human OPA']
41,"Kim, Misun","['Maguire, Eleanor A.', 'Maguire, Eleanor A.', 'Maguire, Eleanor A.', 'Maguire, Eleanor A.']","['10.1002/hipo.23060', '10.1016/j.neuroimage.2018.11.041', '10.1093/cercor/bhy054', '10.1523/JNEUROSCI.2703-16.2017']","{'Maguire, Eleanor A.'}","['Encoding of 3D head direction information in the human brain', 'Can we study 3D grid codes non-invasively in the human brain? Methodological considerations and fMRI findings', 'Hippocampus, Retrosplenial and Parahippocampal Cortices Encode Multicompartment 3D Space in a Hierarchical Manner', 'Multivoxel Pattern Analysis Reveals 3D Place Information in the Human Hippocampus']"
42,"Ramot, Michal","['Martin, Alex']",['10.1523/JNEUROSCI.0217-19.2019'],"{'Martin, Alex'}","['Multifaceted Integration: Memory for Faces Is Subserved by Widespread Connections between Visual, Memory, Auditory, and Social Networks']"
43,"Bao, Xiaojun","['Gottfried, Jay A.']",['10.1016/j.neuron.2019.03.034'],"{'Gottfried, Jay A.'}",['Grid-like Neural Representations Support Olfactory Navigation of a Two-Dimensional Odor Space']
44,"Weisberg, Steven M.","['Chatterjee, Anjan', 'Chatterjee, Anjan']","['10.1016/j.cortex.2018.12.024', '10.1523/JNEUROSCI.3250-17.2018']","{'Chatterjee, Anjan'}","['Everyday taxi drivers: Do better navigators have larger hippocampi?', 'Behavioral and Neural Representations of Spatial Directions across Words, Schemas, and Images']"
45,"Collins, Jessica A.","['Dickerson, Bradford C.']",['10.1002/hipo.23003'],"{'Dickerson, Bradford C.'}",['Functional connectivity in category-selective brain networks after encoding predicts subsequent memory']
46,"Zajac, Lauren","['Killiany, Ronald']",['10.1002/brb3.1236'],"{'Killiany, Ronald'}","[""Self-reported navigation ability is associated with optic flow-sensitive regions' functional connectivity patterns during visual path integration""]"
47,"Thavabalasingam, Sathesan","['Lee, Andy C. H.']",['10.1073/pnas.1819993116'],"{'Lee, Andy C. H.'}",['Evidence for the incorporation of temporal duration information in human hippocampal long-term memory sequence representations']
48,"Saj, Arnaud","['Honore, Jacques']",['10.3389/fneur.2019.00142'],"{'Honore, Jacques'}",['Functional Neuroanatomy of Vertical Visual Perception in Humans']
49,"Gilmore, Adrian W.","['Martin, Alex']",['10.1016/j.neuropsychologia.2018.12.023'],"{'Martin, Alex'}",['Identifying task-general effects of stimulus familiarity in the parietal memory network']
50,"Silson, Edward H.","['Baker, Chris, I']",['10.1523/JNEUROSCI.1219-18.2018'],"{'Baker, Chris, I'}",['A Posterior-Anterior Distinction between Scene Perception and Scene Construction in Human Medial Parietal Cortex']
51,"Koen, Joshua D.","['Rugg, Michael D.']",['10.1523/JNEUROSCI.1498-18.2018'],"{'Rugg, Michael D.'}","['The Relationship between Age, Neural Differentiation, and Memory Performance']"
52,"Wang, Xin","['Tong, Raymond Kai-yu']",['10.1162/netn_a_00105'],"{'Tong, Raymond Kai-yu'}",['Synchronization lag in post stroke: relation to motor function and structural connectivity']
53,"Ribas-Fernandes, Jose J. F.","['Botvinick, Matthew M.']",['10.1162/jocn_a_01341'],"{'Botvinick, Matthew M.'}",['Subgoal- and Goal-related Reward Prediction Errors in Medial Prefrontal Cortex']
54,"van Kesteren, Marlieke T. R.","['Wagner, Anthony D.']",['10.3389/fnhum.2018.00486'],"{'Wagner, Anthony D.'}",['Learned Spatial Schemas and Prospective Hippocampal Activity Support Navigation After One-Shot Learning']
55,"Roberts, Brooke M.","['Ranganath, Charan']",['10.1016/j.bbr.2017.05.068'],"{'Ranganath, Charan'}",['Brain activity related to working memory for temporal order and object information']
56,"Stawarczyk, David","[""D'Argembeau, Arnaud""]",['10.1093/cercor/bhx270'],"{""D'Argembeau, Arnaud""}",['Differential Contributions of Default and Dorsal Attention Networks to Remembering Thoughts and External Stimuli From Real-Life Events']
57,"Burte, Heather","['Hegarty, Mary']",['10.3389/fnhum.2018.00410'],"{'Hegarty, Mary'}",['The Neural Basis of Individual Differences in Directional Sense']
58,"Chrastil, Elizabeth R.","['Stern, Chantal E.', 'Stern, Chantal E.', 'Stern, Chantal E.']","['10.1037/bne0000278', '10.1523/ENEURO.0346-16.2017', '10.1523/JNEUROSCI.1209-15.2015']","{'Stern, Chantal E.'}","['Converging Meta-Analytic and Connectomic Evidence for Functional Subregions Within the Human Retrosplenial Region', 'Individual Differences in Human Path Integration Abilities Correlate with Gray Matter Volume in Retrosplenial Cortex, Hippocampus, and Medial Prefrontal Cortex', 'There and Back Again: Hippocampus and Retrosplenial Cortex Track Homing Distance during Human Path Integration']"
59,"Dalton, Marshall A.","['Maguire, Eleanor A.']",['10.1523/JNEUROSCI.0263-18.2018'],"{'Maguire, Eleanor A.'}","['Differentiable Processing of Objects, Associations, and Scenes within the Hippocampus']"
60,"Peng, Limin","['Hu, Dewen']",['10.1002/brb3.1022'],"{'Hu, Dewen'}",['Functional connectivity changes in the entorhinal cortex of taxi drivers']
61,"Blumenthal, Anna","['Kohler, Stefan']",['10.1002/hbm.24212'],"{'Kohler, Stefan'}",['Animacy and real-world size shape object representations in the human medial temporal lobes']
62,"Parikh, Natasha","['De Brigard, Felipe']",['10.1016/j.neuroimage.2018.05.053'],"{'De Brigard, Felipe'}",['What if? Neural activity underlying semantic and episodic counterfactual thinking']
63,"Santangelo, Valerio","['Campolongo, Patrizia']",['10.1073/pnas.1802730115'],"{'Campolongo, Patrizia'}",['Enhanced brain activity associated with memory access in highly superior autobiographical memory']
64,"Arnold, Aiden E. G. F.","['Iaria, Giuseppe', 'Iaria, Giuseppe']","['10.3389/fnhum.2018.00292', '10.1162/jocn_a_00491']","{'Iaria, Giuseppe'}","['Dynamic Neural Network Reconfiguration During the Generation and Reinstatement of Mnemonic Representations', 'Neural Network Configuration and Efficiency Underlies Individual Differences in Spatial Orientation Ability']"
65,"Brunec, Iva K.","['Moscovitch, Morris']",['10.1016/j.cub.2018.05.016'],"{'Moscovitch, Morris'}",['Multiple Scales of Representation along the Hippocampal Anteroposterior Axis in Humans']
66,"Anggraini, Dian","['Wunderlich, Klaus']",['10.1038/s41598-018-28241-z'],"{'Wunderlich, Klaus'}",['Neural signatures of reinforcement learning correlate with strategy adoption during spatial navigation']
67,"Barry, Daniel N.","['Maguire, Eleanor A.']",['10.1371/journal.pbio.2005479'],"{'Maguire, Eleanor A.'}",['Nonmonotonic recruitment of ventromedial prefrontal cortex during remote memory recall']
68,"Dillon, Moira R.","['Dilks, Daniel D.']",['10.1093/cercor/bhx139'],"{'Dilks, Daniel D.'}",['Places in the Brain: Bridging Layout and Object Geometry in Scene-Selective Cortex']
69,"Sherrill, Katherine R.","['Stern, Chantal E.', 'Stern, Chantal E.', 'Stern, Chantal E.']","['10.1016/j.neuroscience.2018.04.006', '10.1016/j.neuroimage.2015.06.009', '10.1523/JNEUROSCI.1825-13.2013']","{'Stern, Chantal E.'}","['Structural Differences in Hippocampal and Entorhinal Gray Matter Volume Support Individual Differences in First Person Navigational Ability', 'Functional connections between optic flow areas and navigationally responsive brain regions during goal-directed navigation', 'Hippocampus and Retrosplenial Cortex Combine Path Integration Signals for Successful Navigation']"
70,"Shiell, Martha M.","['Formisano, Elia']",['10.1523/JNEUROSCI.3323-17.2018'],"{'Formisano, Elia'}",['Activity in Human Auditory Cortex Represents Spatial Separation Between Concurrent Sounds']
71,"Jeye, Brittany M.","['Slotnick, Scott D.']",['10.1016/j.brainres.2018.02.029'],"{'Slotnick, Scott D.'}",['Distinct regions of the hippocampus are associated with memory for different spatial locations']
72,"Kaboodvand, Neda","['Salami, Alireza']",['10.1002/hbm.23983'],"{'Salami, Alireza'}",['The retrosplenial cortex: A memory gateway between the cortical default mode network and the medial temporal lobe']
73,"Auger, Stephen D.","['Maguire, Eleanor A.', 'Maguire, Eleanor A.', 'Maguire, Eleanor A.', 'Maguire, Eleanor A.']","['10.1162/jocn_a_01231', '10.1016/j.neuropsychologia.2017.08.012', '10.7554/eLife.09031', '10.1371/journal.pone.0043620']","{'Maguire, Eleanor A.'}","['Dissociating Landmark Stability from Orienting Value Using Functional Magnetic Resonance Imaging', 'Efficacy of navigation may be influenced by retrosplenial cortex-mediated learning of landmark stability', 'A central role for the retrosplenial cortex in de novo environmental learning', 'Retrosplenial Cortex Codes for Permanent Landmarks']"
74,"Geddes, Maiya R.","['Gabrieli, John D. E.']",['10.1016/j.neuroimage.2017.12.053'],"{'Gabrieli, John D. E.'}",['Human aging reduces the neurobehavioral influence of motivation on episodic memory']
75,"Robin, Jessica","['Moscovitch, Morris']",['10.1523/JNEUROSCI.1638-17.2018'],"{'Moscovitch, Morris'}",['The Primacy of Spatial Context in the Neural Representation of Events']
76,"Vanlangendonck, Flora","['Hagoort, Peter']",['10.1016/j.neuropsychologia.2017.12.008'],"{'Hagoort, Peter'}",['Distinguishable memory retrieval networks for collaboratively and non-collaboratively learned information']
77,"Brandt, Jason","['Bakker, Arnold']",['10.1037/neu0000410'],"{'Bakker, Arnold'}",['Neuropsychological Investigation of The Amazing Memory Man']
78,"Faraut, Mailys C. M.","['Rutishauser, Ueli']",['10.1038/sdata.2018.10'],"{'Rutishauser, Ueli'}",['Dataset of human medial temporal lobe single neuron activity during declarative memory encoding and recognition']
79,"Julian, Joshua B.","['Epstein, Russell A.']",['10.1038/s41593-017-0049-1'],"{'Epstein, Russell A.'}",['Human entorhinal cortex represents visual space using a boundary-anchored grid']
80,"Palombo, Daniela J.","['Levine, Brian', 'Levine, Brian']","['10.1002/hipo.22818', '10.1016/j.neuropsychologia.2015.04.012']","{'Levine, Brian'}","['Episodic autobiographical memory is associated with variation in the size of hippocampal subregions', 'Severely deficient autobiographical memory (SDAM) in healthy adults: A new mnemonic syndrome']"
81,"Kanayet, Frank J.","['McClelland, James L.']",['10.1162/jocn_a_01199'],"{'McClelland, James L.'}",['Distinct Representations of Magnitude and Spatial Position within Parietal Cortex during Number-Space Mapping']
82,"Herweg, Nora A.","['Bunzeck, Nico', 'Bunzeck, Nico']","['10.1523/JNEUROSCI.1315-17.2017', '10.1523/JNEUROSCI.3629-15.2016']","{'Bunzeck, Nico'}","['Retrieval Demands Adaptively Change Striatal Old/New Signals and Boost Subsequent Long-Term Memory', 'Theta-Alpha Oscillations Bind the Hippocampus, Prefrontal Cortex, and Striatum during Recollection: Evidence from Simultaneous EEG-fMRI']"
83,"Conson, Massimiliano","['Guariglia, Cecilia']",['10.1080/13803395.2018.1451493'],"{'Guariglia, Cecilia'}",['Selective map-following navigation deficit: A new case of developmental topographical disorientation']
84,"Stevens, Jennifer S.","['Jovanovic, Tanja']",['10.1016/j.nicl.2017.11.016'],"{'Jovanovic, Tanja'}",['Episodic memory after trauma exposure: Medial temporal lobe function is positively related to re-experiencing and inversely related to negative affect symptoms']
85,"O'Callaghan, Georgia","['Newell, Fiona N.']",['10.1163/22134808-00002604'],"{'Newell, Fiona N.'}",['Changes in Regional Brain Grey-Matter Volume Following Successful Completion of a Sensori-Motor Intervention Targeted at Healthy and Fall-Prone Older Adults']
86,"Konishi, Kyoko","['Bohbot, Veronique D.']",['10.1016/j.neuropsychologia.2017.09.025'],"{'Bohbot, Veronique D.'}",['Hippocampus-dependent spatial learning is associated with higher global cognition among healthy older adults']
87,"Wilkins, Leanne K.","['Bohbot, Veronique D.']",['10.1016/j.pscychresns.2017.07.007'],"{'Bohbot, Veronique D.'}",['Hippocampal activation and memory performance in schizophrenia depend on strategy use in a virtual maze']
88,"Zadbood, A.","['Hasson, U.']",['10.1093/cercor/bhx202'],"{'Hasson, U.'}",['How We Transmit Memories to Other Brains: Constructing Shared Neural Representations Via Communication']
89,"Kong, Xiang-Zhen","['Liu, Jia']",['10.1016/j.neuroimage.2017.07.031'],"{'Liu, Jia'}",['Sex-linked association between cortical scene selectivity and navigational ability']
90,"Salgado-Pineda, Pilar","['Pomarol-Clotet, Edith']",['10.1016/j.neuroscience.2017.06.029'],"{'Pomarol-Clotet, Edith'}","['PATTERNS OF ACTIVATION AND DE-ACTIVATION ASSOCIATED WITH CUE-GUIDED SPATIAL NAVIGATION: A WHOLE-BRAIN, VOXEL-BASED STUDY']"
91,"Brandman, Talia","['Peelen, XMarius V.']",['10.1523/JNEUROSCI.0582-17.2017'],"{'Peelen, XMarius V.'}",['Interaction between Scene and Object Processing Revealed by Human fMRI and MEG Decoding']
92,"Chanales, Avi J. H.","['Kuhl, Brice A.']",['10.1016/j.cub.2017.06.057'],"{'Kuhl, Brice A.'}",['Overlap among Spatial Memories Triggers Repulsion of Hippocampal Representations']
93,"de Chastelaine, Marianne","['Rugg, Michael D.']",['10.1016/j.neuroimage.2017.05.039'],"{'Rugg, Michael D.'}",['Independent contributions of fMRI familiarity and novelty effects to recognition memory and their stability across the adult lifespan']
94,"Danker, Jared F.","['Davachi, Lila']",['10.1093/cercor/bhw146'],"{'Davachi, Lila'}",['Trial-by-Trial Hippocampal Encoding Activation Predicts the Fidelity of Cortical Reinstatement During Subsequent Retrieval']
95,"Tacikowski, Pawel","['Ehrsson, H. Henrik']",['10.1093/cercor/bhx004'],"{'Ehrsson, H. Henrik'}",['Dissociating the Neural Basis of Conceptual Self-Awareness from Perceptual Awareness and Unaware Self-Processing']
96,"Wegman, Joost","['Janzen, Gabriele', 'Janzen, Gabriele']","['10.1111/ejn.13416', '10.1002/hipo.22275']","{'Janzen, Gabriele'}","['The brain-derived neurotrophic factor Val66Met polymorphism affects encoding of object locations during active navigation', 'Encoding and retrieval of landmark-related spatial cues during navigation: An fMRI study']"
97,"Liang, Jackson C.","['Preston, Alison R.']",['10.1016/j.cortex.2016.09.011'],"{'Preston, Alison R.'}",['Medial temporal lobe reinstatement of content-specific details predicts source memory']
98,"Yeung, Lok-Kin","['Barense, Morgan D.']",['10.1523/JNEUROSCI.3664-16.2017'],"{'Barense, Morgan D.'}",['Anterolateral Entorhinal Cortex Volume Predicted by Altered Intra-Item Configural Processing']
99,"Tailby, Chris","['Jackson, Graeme']",['10.1016/j.neuroimage.2017.02.088'],"{'Jackson, Graeme'}",['The spatiotemporal substrates of autobiographical recollection: Using event-related ICA to study cognitive networks in action']
100,"Bonner, Michael F.","['Epstein, Russell A.']",['10.1073/pnas.1618228114'],"{'Epstein, Russell A.'}",['Coding of navigational affordances in the human visual system']
101,"Huntgeburth, S. C.","['Petrides, M.']",['10.1007/s00429-016-1293-y'],"{'Petrides, M.'}",['Local morphology informs location of activation during navigation within the parahippocampal region of the human brain']
102,"Boccia, Maddalena","['Galati, Gaspare', 'Galati, Gaspare', 'Nemmi, F.', 'Guariglia, Cecilia']","['10.1007/s00429-016-1318-6', '10.1016/j.neuroimage.2016.08.034', '10.1007/s00429-015-1021-z', '10.1007/s11065-014-9247-8']","{'Nemmi, F.', 'Guariglia, Cecilia', 'Galati, Gaspare'}","['Direct and indirect parieto-medial temporal pathways for spatial navigation in humans: evidence from resting-state functional connectivity', 'I can see where you would be: Patterns of fMRI activity reveal imagined landmarks', 'Navigating toward a novel environment from a route or survey perspective: neural correlates and context-dependent connectivity', 'Neuropsychology of Environmental Navigation in Humans: Review and Meta-Analysis of fMRI Studies in Healthy Participants']"
103,"Garvert, Mona M.","['Behrens, Timothy E. J.']",['10.7554/eLife.17086'],"{'Behrens, Timothy E. J.'}",['A map of abstract relational knowledge in the human hippocampal-entorhinal cortex']
104,"Burles, Ford","['Iaria, Giuseppe']",['10.1007/s00429-016-1288-8'],"{'Iaria, Giuseppe'}",['Dorso-medial and ventro-lateral functional specialization of the human retrosplenial complex in spatial updating and orienting']
105,"Duke, Devin","['Kohler, Stefan']",['10.1016/j.cortex.2017.01.015'],"{'Kohler, Stefan'}",['Perirhinal cortex tracks degree of recent as well as cumulative lifetime experience with object concepts']
106,"Westphal, Andrew J.","['Rissman, Jesse']",['10.1523/JNEUROSCI.2509-16.2017'],"{'Rissman, Jesse'}",['Episodic Memory Retrieval Benefits from a Less Modular Brain Network Organization']
107,"Chen, Xhung-Yu","['McDermott, Kathleen B.']",['10.1523/JNEUROSCI.1534-16.2017'],"{'McDermott, Kathleen B.'}",['Are There Multiple Kinds of Episodic Memory? An fMRI Investigation Comparing Autobiographical and Recognition Memory Tasks']
108,"Zheng, Zhiwei","['Li, Juan']",['10.3389/fnhum.2017.00093'],"{'Li, Juan'}",['Sex Matters: Hippocampal Volume Predicts Individual Differences in Associative Memory in Cognitively Normal Older Women but Not Men']
109,"Karunanayaka, Prasanna R.","['Yang, Qing X.']",['10.1002/hbm.23440'],"{'Yang, Qing X.'}",['Default Mode Network Deactivation During Odor-Visual Association']
110,"Kim, Ghootae","['Turk-Browne, Nicholas B.']",['10.1523/JNEUROSCI.3272-16.2017'],"{'Turk-Browne, Nicholas B.'}",['Neural Differentiation of Incorrectly Predicted Memories']
111,"Flanagin, Virginia L.","['Wiegrebe, Lutz', 'Hummel, Nadine']","['10.1523/JNEUROSCI.1566-12.2016', '10.1167/16.3.19']","{'Hummel, Nadine', 'Wiegrebe, Lutz'}","['Human Exploration of Enclosed Spaces through Echolocation', 'The effect of supine body position on human heading perception']"
112,"Kong, Xiang-zhen","['Liu, Jia']",['10.1093/cercor/bhv322'],"{'Liu, Jia'}",['Genetic Variation in S100B Modulates Neural Processing of Visual Scenes in Han Chinese']
113,"Reagh, Zachariah M.","['Yassa, Michael A.', 'Yassa, Michael A.', 'Yassa, Michael A.']","['10.1002/hipo.22681', '10.1073/pnas.1411250111', '10.1523/JNEUROSCI.2779-14.2014']","{'Yassa, Michael A.'}","['Repetition reveals ups and downs of hippocampal, thalamic, and neocortical engagement during mnemonic decisions', 'Object and spatial mnemonic interference differentially engage lateral and medial entorhinal cortex in humans', 'Dissociated Signals in Human Dentate Gyrus and CA3 Predict Different Facets of Recognition Memory']"
114,"Tseng, Chieh-En Jane","['Nosarti, Chiara']",['10.1002/hbm.23405'],"{'Nosarti, Chiara'}",['A multimodal imaging study of recognition memory in very preterm born adults']
115,"Liu, Zhong-Xu","['Ryan, Jennifer D.']",['10.1523/JNEUROSCI.2610-16.2017'],"{'Ryan, Jennifer D.'}",['Visual Sampling Predicts Hippocampal Activity']
116,"AlRyalat, Saif Aldeen",[],['10.3233/JIN-170015'],set(),['Gender similarities and differences in brain activation strategies: Voxel-based meta-analysis on fMRI studies']
