,author,co-author,doi,co-author_list,title
259,"Wolbers, Thomas","['Giudice, Nicholas A.', 'Buechel, Christian', 'Chen, Xiaoli', 'Shine, Jonathan P.']","['10.1016/j.cub.2011.04.038', '10.1523/JNEUROSCI.2146-07.2007', '10.1016/j.neuroimage.2019.116074', '10.1523/JNEUROSCI.1268-15.2016']","{'Shine, Jonathan P.', 'Chen, Xiaoli', 'Buechel, Christian', 'Giudice, Nicholas A.'}","['Modality-Independent Coding of Spatial Layout in the Human Brain', 'Differential recruitment of the hippocampus, medial prefrontal cortex, and the human motion complex during path integration in humans', 'Computing distance information from landmarks and self-motion cues - Differential contributions of anterior-lateral vs. posterior-medial entorhinal cortex in humans', 'The Human Retrosplenial Cortex and Thalamus Code Head Direction in a Global Reference Frame']"
260,"Ekstrom, Arne D.","['Yonelinas, Andrew P.', 'Bookheimer, Susan Y.', 'Huffman, Derek J.', 'Kyle, Colin T.', 'Kyle, Colin T.', 'Zhang, Hui']","['10.1016/j.neuroimage.2011.02.033', '10.1101/lm.575107', '10.1016/j.neuron.2019.08.012', '10.7554/eLife.10499', '10.1016/j.bbr.2014.10.034', '10.1371/journal.pone.0044886']","{'Bookheimer, Susan Y.', 'Zhang, Hui', 'Huffman, Derek J.', 'Yonelinas, Andrew P.', 'Kyle, Colin T.'}","['Dissociable networks involved in spatial and temporal order source retrieval', 'Spatial and temporal episodic memory retrieval recruit dissociable functional networks in the human brain', 'A Modality-Independent Network Underlies the Retrieval of Large-Scale Spatial Environments in the Human Brain', 'Successful retrieval of competing spatial environments in humans involves hippocampal pattern separation mechanisms', 'Roles of human hippocampal subfields in retrieval of spatial and temporal context', 'Differential Recruitment of Brain Networks following Route and Cartographic Map Learning of Spatial Environments']"
261,"Yassa, Michael A.","['Stark, Craig E. L.', 'Stevenson, Rebecca F.', 'Reagh, Zachariah M.', 'Reagh, Zachariah M.', 'Reagh, Zachariah M.']","['10.1073/pnas.1101567108', '10.1523/JNEUROSCI.0564-19.2019', '10.1002/hipo.22681', '10.1073/pnas.1411250111', '10.1523/JNEUROSCI.2779-14.2014']","{'Stark, Craig E. L.', 'Stevenson, Rebecca F.', 'Reagh, Zachariah M.'}","['Age-related memory deficits linked to circuit-specific disruptions in the hippocampus', 'Pattern Separation and Source Memory Engage Distinct Hippocampal and Neocortical Regions during Retrieval', 'Repetition reveals ups and downs of hippocampal, thalamic, and neocortical engagement during mnemonic decisions', 'Object and spatial mnemonic interference differentially engage lateral and medial entorhinal cortex in humans', 'Dissociated Signals in Human Dentate Gyrus and CA3 Predict Different Facets of Recognition Memory']"
262,"Parent, Marise B.","['Hamann, Stephan']",['10.1016/j.neuropsychologia.2011.02.013'],"{'Hamann, Stephan'}",['Glucose administration enhances fMRI brain activation and connectivity related to episodic memory encoding for neutral and emotional stimuli']
263,"Viard, Armelle","['Burgess, Neil']",['10.1523/JNEUROSCI.4640-10.2011'],"{'Burgess, Neil'}",['Anterior Hippocampus and Goal-Directed Spatial Decision Making']
264,"Banner, Harrison","['Bohbot, Veronique D.']",['10.1111/j.1460-9568.2010.07550.x'],"{'Bohbot, Veronique D.'}",['The brain-derived neurotrophic factor Val66Met polymorphism is associated with reduced functional magnetic resonance imaging activity in the hippocampus and increased use of caudate nucleus-dependent strategies in a human virtual navigation task']
265,"Dudukovic, Nicole M.","['Wagner, Anthony D.']",['10.1162/jocn.2010.21509'],"{'Wagner, Anthony D.'}",['High-resolution fMRI Reveals Match Enhancement and Attentional Modulation in the Human Medial Temporal Lobe']
266,"Morgan, Lindsay K.","['Epstein, Russell A.', 'Epstein, Russell A.']","['10.1523/JNEUROSCI.4667-10.2011', '10.1016/j.neuropsychologia.2011.09.042']","{'Epstein, Russell A.'}","['Distances between Real-World Locations Are Represented in the Human Hippocampus', 'Neural responses to visual scenes reveals inconsistencies between fMRI adaptation and multivoxel pattern analysis']"
267,"Park, Soojin","['Oliva, Aude', 'Johnson, Marcia K.', 'Chun, Marvin M.', 'Park, Jeongho', 'Ferrara, Katrina']","['10.1523/JNEUROSCI.3885-10.2011', '10.1162/jocn.2009.21406', '10.1016/j.neuroimage.2009.04.058', '10.1523/JNEUROSCI.1991-19.2020', '10.1016/j.neuropsychologia.2016.05.012']","{'Chun, Marvin M.', 'Ferrara, Katrina', 'Oliva, Aude', 'Park, Jeongho', 'Johnson, Marcia K.'}","['Disentangling Scene Content from Spatial Boundary: Complementary Roles for the Parahippocampal Place Area and Lateral Occipital Complex in Representing Real-World Scenes', 'Refreshing and Integrating Visual Scenes in Scene-selective Cortex', 'Different roles of the parahippocampal place area (PPA) and retrosplenial cortex (RSC) in panoramic scene perception', 'Coding of Navigational Distance and Functional Constraint of Boundaries in the Human Scene-Selective Cortex', 'Neural representation of scene boundaries']"
268,"Schott, Bjoern H.","['Duezel, Emrah']",['10.1371/journal.pone.0015984'],"{'Duezel, Emrah'}",['Genetic Variation of the Serotonin 2a Receptor Affects Hippocampal Novelty Processing in Humans']
269,"Keightley, Michelle L.","['Grady, Cheryl L.']",['10.1093/scan/nsq003'],"{'Grady, Cheryl L.'}",['Neural correlates of recognition memory for emotional faces and scenes']
270,"Sinclair, Robert J.","['Burton, Harold']",['10.3109/08990220.2011.602765'],"{'Burton, Harold'}",['Recognition memory for vibrotactile rhythms: An fMRI study in blind and sighted individuals']
271,"Yokoyama, Osamu","['Nakamura, Katsuki']",['10.1016/j.neures.2010.07.2041'],"{'Nakamura, Katsuki'}",['Right frontopolar cortex activity correlates with reliability of retrospective rating of confidence in short-term recognition memory performance']
272,"Toepper, Max","['Sammer, Gebhard']",['10.1016/j.brainres.2010.07.065'],"{'Sammer, Gebhard'}",['Hippocampal involvement in working memory encoding of changing locations: An fMRI study']
273,"Xu, Jian","['Haberg, Asta K.']",['10.1016/j.neuroimage.2010.05.074'],"{'Haberg, Asta K.'}",['Persistent posterior and transient anterior medial temporal lobe activity during navigation']
274,"Sutton, Jennifer E.","['Newcombe, Nora S.']",['10.1037/a0019938'],"{'Newcombe, Nora S.'}",['Spinning in the Scanner: Neural Correlates of Virtual Reorientation']
